,Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
112,Freiburg,VfB Stuttgart,26,10,11,2,0.75,0.78,0.46,0.54,21,5,21,21,0.48,0.52,3,0
113,Mainz 05,Borussia Dortmund,10,12,3,5,0.72,0.75,0.5,0.5,5,10,26,37,0.45,0.55,1,2
114,Augsburg,Borussia,13,8,2,3,0.74,0.81,0.38,0.62,5,6,22,21,0.37,0.63,1,1
115,Greuther Fuerth,Nuernberg,5,3,1,0,0.81,0.76,0.32,0.68,10,7,27,29,0.55,0.45,0,0
116,Freiburg,Bayern Munich,10,12,4,6,0.86,0.91,0.31,0.69,27,9,23,25,0.4,0.6,0,2
117,Fortuna,Hamburger SV,11,13,3,4,0.66,0.83,0.46,0.54,8,8,25,13,0.34,0.66,2,0
118,Hamburger SV,Schalke 04,19,20,6,8,0.82,0.8,0.51,0.49,17,10,24,21,0.49,0.51,3,1
119,Borussia Dortmund,Fortuna,22,5,7,1,0.86,0.7,0.75,0.25,13,6,19,22,0.71,0.29,1,1
120,Eintracht Frankfurt,Mainz 05,11,10,6,5,0.76,0.67,0.55,0.45,18,6,18,37,0.59,0.41,1,3
121,Borussia,Wolfsburg,12,17,6,6,0.69,0.87,0.5,0.5,10,12,16,19,0.35,0.65,2,0
122,VfB Stuttgart,Augsburg,10,16,2,8,0.81,0.72,0.48,0.52,17,15,23,23,0.53,0.47,2,1
123,Hannover 96,Greuther Fuerth,13,11,5,3,0.65,0.75,0.51,0.49,5,11,16,25,0.44,0.56,2,0
124,Werder Bremen,Bayer Leverkusen,17,9,5,5,0.8,0.73,0.54,0.46,6,10,27,25,0.51,0.49,1,4
125,Nuernberg,Hoffenheim,14,15,6,5,0.71,0.78,0.5,0.5,11,14,25,28,0.42,0.58,4,2
126,Bayern Munich,Borussia Dortmund,14,12,5,5,0.81,0.73,0.6,0.4,23,8,24,21,0.6,0.4,1,1
127,Augsburg,Freiburg,14,10,4,3,0.62,0.71,0.46,0.54,12,19,26,24,0.42,0.58,1,1
128,Schalke 04,Borussia,22,5,6,1,0.8,0.69,0.45,0.55,6,4,13,18,0.56,0.44,1,1
129,Greuther Fuerth,VfB Stuttgart,19,10,7,7,0.78,0.82,0.4,0.6,8,11,23,15,0.48,0.52,0,1
130,Bayer Leverkusen,Nuernberg,22,8,8,2,0.8,0.85,0.46,0.54,13,14,16,26,0.43,0.57,1,0
131,Fortuna,Eintracht Frankfurt,13,8,6,2,0.88,0.79,0.4,0.6,14,15,27,24,0.6,0.4,4,0
132,Wolfsburg,Hamburger SV,22,9,5,3,0.77,0.75,0.58,0.42,8,9,24,17,0.55,0.45,1,1
133,Hoffenheim,Werder Bremen,9,12,3,6,0.78,0.71,0.56,0.44,18,18,29,30,0.54,0.46,1,4
134,Mainz 05,Hannover 96,12,15,3,4,0.77,0.8,0.61,0.39,15,2,13,16,0.45,0.55,2,1
135,Bayer Leverkusen,Hamburger SV,18,16,6,4,0.69,0.86,0.54,0.46,21,17,23,20,0.35,0.65,3,0
136,Freiburg,Greuther Fuerth,11,10,3,1,0.76,0.64,0.73,0.27,20,5,23,32,0.59,0.41,1,0
137,Borussia Dortmund,Wolfsburg,20,7,10,4,0.82,0.76,0.45,0.55,18,7,24,32,0.55,0.45,2,3
138,Wolfsburg,Eintracht Frankfurt,7,18,3,6,0.73,0.85,0.53,0.47,10,15,20,22,0.37,0.63,0,2
139,Augsburg,Bayern Munich,14,19,3,7,0.84,0.81,0.34,0.66,10,18,22,26,0.48,0.52,0,2
140,Borussia,Mainz 05,10,15,2,4,0.75,0.86,0.53,0.47,8,9,18,20,0.41,0.59,2,0
141,Werder Bremen,Nuernberg,26,9,7,5,0.78,0.64,0.42,0.58,14,7,24,19,0.64,0.36,1,1
142,Hamburger SV,Hoffenheim,10,14,4,3,0.86,0.71,0.49,0.51,17,10,16,20,0.68,0.32,2,0
143,VfB Stuttgart,Schalke 04,13,13,7,3,0.73,0.83,0.55,0.45,13,14,21,15,0.38,0.62,3,1
144,Hoffenheim,Borussia Dortmund,9,17,1,9,0.68,0.85,0.58,0.42,12,17,24,21,0.35,0.65,1,3
