,Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
217,Volga Nyzhny,FC Krasnodar,8,15,1,5,58,67,27,73,4,7,13,19,48,52,0,1
218,Kuban Krasnodar,Zenit St.Petersburg,11,19,1,10,79,82,52,48,8,9,19,28,48,52,1,4
219,Krylya Sovetov Samara,Amkar,13,12,5,8,66,62,59,41,10,10,19,27,51,49,2,2
220,CSKA Moscow,Tom Tomsk,18,11,5,2,80,67,52,48,3,4,25,21,60,40,2,0
221,Rubin Kazan,Terek Grozny,17,15,4,5,80,78,71,29,4,3,11,24,47,53,1,1
222,Spartak Moscow,Kuban Krasnodar,16,11,4,3,83,73,52,48,3,7,18,12,55,45,0,2
223,FC Krasnodar,Anzhi Makhachkala,11,16,3,3,73,79,67,33,2,8,14,13,43,57,1,0
224,CSKA Moscow,Lokomotiv Moscow,11,4,3,0,75,81,48,52,7,8,27,27,46,54,1,0
225,FC Rostov,Anzhi Makhachkala,6,19,3,5,72,75,33,67,5,5,18,14,48,52,1,1
226,Krylya Sovetov Samara,Rubin Kazan,16,16,6,4,77,80,39,61,9,5,11,21,56,44,0,4
227,Tom Tomsk,FC Rostov,10,13,6,4,81,81,65,35,5,2,21,18,47,53,3,2
228,Terek Grozny,Dinamo Moscow,11,12,5,1,70,80,65,35,8,3,19,27,40,60,1,0
229,Spartak Moscow,Amkar,11,13,3,5,74,78,41,59,8,6,18,10,53,47,1,0
230,Ural,Tom Tomsk,14,13,5,5,79,70,37,63,2,4,14,18,55,45,0,0
231,FC Rostov,Lokomotiv Moscow,9,12,2,2,73,80,53,47,8,12,19,20,43,57,2,0
232,Zenit St.Petersburg,Volga Nyzhny,20,8,8,3,81,61,64,36,8,1,14,20,69,31,2,0
233,Terek Grozny,Volga Nyzhny,16,8,7,3,82,71,83,17,2,2,14,24,57,43,2,0
234,Amkar,CSKA Moscow,13,14,3,6,74,76,50,50,10,4,15,11,51,49,1,3
235,Ural,Kuban Krasnodar,14,12,5,5,75,75,50,50,10,8,13,10,50,50,2,1
236,Anzhi Makhachkala,Terek Grozny,7,19,4,6,69,83,44,56,3,2,12,18,35,65,3,0
237,FC Rostov,Dinamo Moscow,11,18,3,9,70,82,48,52,3,3,15,13,43,57,2,3
238,Anzhi Makhachkala,Krylya Sovetov,18,15,6,6,76,62,69,31,9,5,13,17,55,45,1,2
