,Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
272,Excelsior,Heracles,12,14,4,5,77,71,48,52,8,8,20,34,57,43,1,3
273,SC Heerenveen,FC Utrecht,6,13,1,7,75,82,56,44,6,6,15,14,47,53,0,4
274,AZ Alkmaar,De Graafschap,19,8,9,3,80,66,71,29,19,6,18,25,58,42,4,1
275,Cambuur,Ajax,11,18,3,3,77,77,28,72,3,17,17,13,55,45,0,1
276,NEC Nijmegen,Heracles,18,4,7,2,77,69,54,46,5,2,13,22,59,41,1,0
277,Vitesse,ADO Den Haag,15,7,6,4,89,70,50,50,18,5,13,29,70,30,2,2
278,Willem II,Ajax,16,17,4,7,80,85,44,56,5,9,12,16,46,54,0,4
279,Roda,Vitesse,14,13,3,7,68,81,40,60,5,8,24,19,38,62,1,2
280,Feyenoord,Cambuur,12,7,7,3,81,78,55,45,6,4,18,12,52,48,3,1
281,De Graafschap,Roda,17,17,7,5,67,69,50,50,4,11,21,12,46,54,3,0
282,Willem II,AZ Alkmaar,7,17,1,4,75,75,47,53,5,14,20,17,51,49,0,2
283,PSV Eindhoven,SC Heerenveen,16,7,4,3,78,66,50,50,18,13,25,27,60,40,1,1
284,Twente,PEC Zwolle,14,19,5,6,70,79,52,48,10,7,17,27,43,57,2,1
285,ADO Den Haag,SC Heerenveen,18,8,6,1,79,82,62,38,9,12,24,13,46,54,1,1
286,Twente,Vitesse,10,24,3,8,75,80,53,47,14,11,26,25,39,61,2,2
287,Willem II,Feyenoord,14,9,1,1,66,71,45,55,5,6,19,18,47,53,0,1
288,Ajax,Twente,22,10,9,5,81,72,44,56,16,5,16,22,58,42,4,0
289,PSV Eindhoven,Cambuur,29,13,17,4,79,70,66,34,13,6,16,14,59,41,6,2
290,Excelsior,PEC Zwolle,18,14,4,6,71,74,61,39,5,5,11,24,47,53,2,2
291,Heracles,ADO Den Haag,20,8,6,4,77,72,64,36,10,6,20,18,55,45,1,1
292,Vitesse,FC Utrecht,25,10,7,5,80,78,50,50,12,15,17,14,56,44,1,3
293,NEC Nijmegen,Roda,10,13,3,6,74,65,41,59,8,3,15,17,56,44,1,2
294,Cambuur,Excelsior,17,11,8,5,86,56,29,71,3,5,11,18,76,24,0,2
295,FC Utrecht,AZ Alkmaar,13,10,4,6,79,59,50,50,5,3,16,21,64,36,1,3
296,Feyenoord,NEC Nijmegen,12,8,5,2,84,75,55,45,9,7,12,18,63,37,1,0
297,PEC Zwolle,PSV Eindhoven,13,19,4,9,70,77,43,57,7,9,21,12,45,55,1,3
298,De Graafschap,Ajax,9,21,3,6,64,72,49,51,1,20,23,13,42,58,1,1
299,Roda,Willem II,10,12,3,6,70,78,45,55,10,16,17,11,44,56,2,3
300,FC Groningen,Heracles,18,7,4,4,83,81,40,60,3,3,8,19,47,53,2,1
301,PEC Zwolle,FC Groningen,19,10,7,5,84,80,59,41,8,6,21,13,55,45,1,3
302,Roda,FC Utrecht,12,10,6,3,75,77,39,61,7,16,22,20,48,52,1,0
303,Feyenoord,SC Heerenveen,13,16,5,8,77,66,36,64,14,15,21,16,60,40,1,2
304,Willem II,Heracles,12,11,1,7,80,62,62,38,5,4,12,23,65,35,0,0
305,Vitesse,Excelsior,17,8,6,3,84,61,39,61,17,7,16,30,68,32,0,0
