Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
147,ADO Den Haag,Heracles,24,18,3,7,80,73,52,48,11,14,17,16,56,44,1,3
148,Twente,NAC Breda,14,13,5,4,67,61,44,56,14,10,29,35,53,47,1,1
149,FC Groningen,FC Utrecht,12,21,4,7,78,80,29,71,12,11,19,20,56,44,2,2
150,Go Ahead Eagles,SC Heerenveen,12,10,3,4,74,82,42,58,4,18,25,9,46,54,1,1
151,Ajax,FC Utrecht,14,23,8,4,82,79,47,53,11,9,26,27,53,47,3,1
152,FC Dordrecht,Feyenoord,11,26,3,11,69,73,46,54,8,7,12,25,49,51,1,2
153,Cambuur,Heracles,16,8,6,2,79,64,24,76,2,12,17,20,65,35,1,0
154,SC Heerenveen,PEC Zwolle,18,14,7,3,81,76,52,48,21,8,19,24,53,47,4,0
155,Go Ahead Eagles,ADO Den Haag,13,3,4,1,78,71,53,47,8,12,24,18,56,44,1,0
156,Ajax,Cambuur,14,11,8,1,78,82,43,57,10,5,17,19,48,52,3,0
157,PSV Eindhoven,Twente,19,14,10,4,78,85,66,34,9,8,19,10,46,54,2,0
158,SC Heerenveen,AZ Alkmaar,19,9,10,3,80,72,53,47,7,12,19,23,53,47,5,2
159,FC Utrecht,NAC Breda,23,17,6,9,82,66,65,35,9,9,23,24,64,36,3,4
160,Excelsior,SC Heerenveen,13,16,6,3,69,74,51,49,10,19,19,28,39,61,3,0
161,NAC Breda,Vitesse,10,16,1,6,58,84,48,52,13,10,31,23,28,72,0,1
162,FC Groningen,Go Ahead Eagles,13,11,8,2,84,72,35,65,10,6,20,18,60,40,2,0
163,PSV Eindhoven,Heracles,18,7,7,1,87,73,53,47,6,7,15,22,61,39,2,0
164,FC Groningen,Vitesse,16,14,9,6,69,81,48,52,3,5,20,18,42,58,1,1
165,NAC Breda,FC Dordrecht,27,21,8,8,65,80,50,50,19,7,21,17,44,56,2,2
166,Go Ahead Eagles,Vitesse,8,21,3,7,72,79,57,43,8,6,20,18,44,56,0,2
167,FC Utrecht,Feyenoord,10,10,4,3,68,80,55,45,6,10,30,17,39,61,0,0
168,PSV Eindhoven,FC Utrecht,16,9,5,4,83,77,52,48,13,2,16,21,55,45,3,1
169,PSV Eindhoven,Willem II,20,7,12,5,83,74,49,51,11,6,23,19,62,38,2,1
170,FC Groningen,PEC Zwolle,13,17,3,4,82,80,31,69,6,0,9,10,53,47,0,1
171,Willem II,PEC Zwolle,11,11,5,4,81,74,48,52,4,6,16,25,54,46,0,1
172,Heracles,Ajax,15,14,2,5,75,84,37,63,9,19,29,15,43,57,0,2
173,Willem II,FC Dordrecht,19,9,7,3,71,65,63,37,11,5,23,25,48,52,2,1
174,FC Groningen,ADO Den Haag,11,14,4,5,79,69,45,55,5,8,13,20,51,49,1,1
175,FC Dordrecht,SC Heerenveen,8,8,1,3,64,70,50,50,6,7,30,26,46,54,0,0
176,Feyenoord,Cambuur,34,3,13,1,82,63,50,50,14,5,22,22,66,34,2,1
177,Twente,FC Dordrecht,19,6,7,2,74,81,48,52,10,4,20,24,42,58,3,0
178,SC Heerenveen,ADO Den Haag,15,9,4,1,79,61,50,50,10,6,18,21,64,36,0,0
179,Willem II,Feyenoord,8,16,2,7,66,73,50,50,8,6,20,20,48,52,2,2
180,Heracles,SC Heerenveen,15,14,8,6,74,71,61,39,9,8,28,24,53,47,1,4
181,Excelsior,NAC Breda,14,5,5,0,77,69,55,45,19,12,25,26,55,45,0,0
182,PSV Eindhoven,Ajax,22,7,9,4,80,72,61,39,9,11,16,22,59,41,1,3
183,Willem II,Heracles,15,7,4,2,78,75,61,39,12,5,23,23,51,49,3,0
184,SC Heerenveen,Twente,14,17,3,10,81,83,56,44,8,7,37,29,52,48,1,3
185,Cambuur,PEC Zwolle,12,7,5,3,81,70,29,71,9,7,12,15,60,40,2,1
186,Go Ahead Eagles,Twente,13,9,2,5,75,78,61,39,3,8,25,21,50,50,1,3
187,AZ Alkmaar,Cambuur,18,16,6,4,74,77,37,63,10,14,18,22,43,57,2,1
188,Twente,Cambuur,19,9,8,4,71,73,54,46,12,10,20,24,46,54,2,1
189,Willem II,Twente,10,15,3,4,71,76,43,57,4,6,15,16,47,53,2,2
190,Go Ahead Eagles,Ajax,13,15,8,3,70,83,40,60,4,4,33,25,40,60,1,2
191,Cambuur,Willem II,14,13,5,5,82,76,33,67,8,4,16,14,65,35,1,2
