Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
146,Kayseri Erciyessporspor,Kasimpasa,14,7,4,1,76,66,47,53,7,7,16,14,57,43,0,0
147,Galatasaray,Antalyaspor,13,16,6,9,85,81,44,56,7,2,13,10,59,41,3,3
148,Akhisar Belediyespor,Bursaspor,13,10,6,4,70,70,38,62,6,2,11,20,46,54,3,1
149,Besiktas,Sivasspor,19,14,7,4,73,75,64,36,7,9,27,14,53,47,2,0
150,Gaziantepspor,Istanbul Basaksehir,3,5,1,1,75,70,37,63,8,5,25,17,60,40,0,1
151,Mersin,Fenerbahce,8,21,2,10,73,80,37,63,5,16,11,19,43,57,1,3
152,Osmanlispor FK,Rizespor,15,7,2,4,74,67,38,62,11,1,19,20,58,42,0,1
153,Fenerbahce,Istanbul Basaksehir,12,7,6,2,80,67,57,43,14,5,25,20,59,41,1,0
154,Bursaspor,Osmanlispor FK,12,12,1,9,79,70,39,61,9,7,21,23,63,37,0,4
155,Rizespor,Trabzonspor,11,29,7,13,71,85,29,71,7,13,16,15,42,58,3,0
156,Genclerbirligi,Sivasspor,13,8,1,5,72,56,49,51,7,11,9,20,63,37,0,1
157,Besiktas,Galatasaray,21,8,9,4,81,81,38,62,8,3,13,26,49,51,2,1
158,Kasimpasa,Konyaspor,14,13,3,3,70,72,52,48,7,5,21,18,45,55,2,1
159,Antalyaspor,Mersin,15,20,8,10,83,78,50,50,7,13,16,21,53,47,3,2
160,Eskisehirspor,Gaziantepspor,16,11,5,6,77,66,69,31,12,12,19,18,57,43,1,2
161,Kayseri Erciyessporspor,Akhisar Belediyespor,16,11,7,4,77,80,45,55,6,7,15,10,47,53,3,2
162,Gaziantepspor,Rizespor,11,6,3,4,62,70,55,45,11,5,19,31,45,55,2,0
163,Konyaspor,Bursaspor,4,14,2,2,64,72,65,35,7,4,23,11,49,51,1,0
164,Sivasspor,Kayseri Erciyessporspor,6,11,3,3,66,71,55,45,2,4,25,20,48,52,0,0
165,Galatasaray,Akhisar Belediyespor,13,11,6,6,83,79,50,50,8,6,17,24,52,48,3,2
166,Genclerbirligi,Fenerbahce,7,20,1,5,67,79,38,62,6,5,12,18,42,58,0,1
167,Istanbul Basaksehir,Eskisehirspor,14,9,4,4,83,68,71,29,13,9,19,24,68,32,2,1
168,Trabzonspor,Antalyaspor,25,11,10,3,84,81,47,53,10,7,10,15,50,50,3,0
169,Mersin,Kasimpasa,9,16,3,6,70,73,28,72,4,11,7,21,46,54,1,2
170,Osmanlispor FK,Besiktas,17,7,8,3,66,75,46,54,10,8,16,12,44,56,2,3
171,Eskisehirspor,Fenerbahce,6,14,2,3,73,83,32,68,8,10,19,21,42,58,0,3
172,Antalyaspor,Istanbul Basaksehir,8,20,4,8,78,84,47,53,10,9,17,16,48,52,1,2
173,Kasimpasa,Gaziantepspor,20,4,8,2,77,64,57,43,7,4,16,29,53,47,1,2
174,Rizespor,Genclerbirligi,14,15,5,5,77,73,46,54,2,10,17,13,52,48,2,3
175,Bursaspor,Trabzonspor,19,13,11,7,76,85,52,48,6,10,23,17,39,61,4,2
176,Akhisar Belediyespor,Konyaspor,12,4,3,2,67,50,73,27,8,4,25,22,61,39,0,2
177,Kayseri Erciyessporspor,Osmanlispor FK,15,9,6,4,67,72,53,47,6,6,25,20,48,52,1,0
178,Galatasaray,Sivasspor,16,14,10,6,82,85,55,45,4,4,17,9,48,52,3,1
179,Istanbul Basaksehir,Besiktas,10,12,4,6,75,83,55,45,5,9,14,13,37,63,2,2
180,Fenerbahce,Kasimpasa,17,7,7,5,81,63,67,33,12,6,30,19,64,36,3,1
181,Konyaspor,Osmanlispor FK,8,12,5,6,68,64,52,48,7,5,21,14,54,46,1,1
182,Gaziantepspor,Akhisar Belediyespor,11,10,2,5,62,66,55,45,6,3,11,19,51,49,0,1
183,Genclerbirligi,Bursaspor,13,13,7,2,72,79,54,46,4,2,19,29,45,55,2,0
184,Eskisehirspor,Antalyaspor,13,10,4,3,71,75,45,55,5,10,25,10,44,56,3,2
185,Sivasspor,Rizespor,16,7,6,2,73,76,61,39,11,2,14,22,48,52,2,1
186,Trabzonspor,Kayseri Erciyessporspor,18,21,7,7,70,77,55,45,8,6,17,15,45,55,2,1
187,Mersin,Galatasaray,11,15,5,6,69,83,53,47,3,7,14,19,40,60,2,1
188,Bursaspor,Fenerbahce,7,30,2,8,65,81,36,64,9,13,20,14,40,60,0,0
189,Antalyaspor,Rizespor,21,7,7,2,86,76,52,48,3,3,17,11,59,41,2,1
190,Kasimpasa,Eskisehirspor,15,14,5,5,67,74,56,44,4,6,19,14,42,58,2,1
191,Konyaspor,Sivasspor,13,14,7,4,68,76,55,45,3,7,21,16,42,58,2,1
192,Besiktas,Genclerbirligi,21,6,7,1,84,68,58,42,5,6,18,15,64,36,1,0
193,Akhisar Belediyespor,Istanbul Basaksehir,10,14,4,4,67,70,37,63,4,5,11,15,47,53,0,0
