,Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
109,Sivasspor,Trabzonspor,9,19,4,7,84,80,61,39,8,5,11,20,55,45,1,1
110,Kayseri Erciyesspor,Istanbul Basaksehir,6,13,1,6,76,72,40,60,7,7,11,9,55,45,0,1
111,Fenerbahce,Bursaspor,20,15,5,4,76,68,39,61,4,8,23,18,60,40,1,0
112,Mersin,Konyaspor,13,19,7,6,77,74,48,52,5,8,15,17,51,49,3,1
113,Kayseri Erciyesspor,Karabukspor,14,13,7,5,86,84,58,42,6,4,12,10,49,51,4,3
114,Rizespor,Akhisar Belediyespor,10,10,5,3,79,87,41,59,4,3,12,18,42,58,3,1
115,Karabukspor,Genclerbirligi,14,8,7,2,80,74,59,41,11,8,22,20,58,42,2,1
116,Kayseri Erciyesspor,Sivasspor,20,18,7,6,79,86,51,49,8,8,13,8,42,58,2,3
117,Balikesirspor,Karabukspor,12,20,7,9,63,82,45,55,5,4,20,18,31,69,4,2
118,Mersin,Fenerbahce,10,21,2,4,71,82,35,65,5,4,14,14,36,64,0,1
119,Bursaspor,Mersin,19,16,6,3,67,69,69,31,4,7,15,18,51,49,2,1
120,Istanbul Basaksehir,Mersin,19,8,6,3,77,60,32,68,3,3,8,21,60,40,2,2
121,Mersin,Kasimpasa,17,16,9,4,62,69,50,50,1,8,22,17,46,54,6,2
122,Bursaspor,Trabzonspor,12,15,8,6,66,80,50,50,1,7,31,17,40,60,3,3
123,Konyaspor,Fenerbahce,8,17,5,3,63,80,54,46,6,6,14,20,35,65,1,1
124,Gaziantepspor,Balikesirspor,35,12,9,8,87,70,46,54,4,5,16,18,67,33,1,0
125,Sivasspor,Akhisar Belediyespor,22,11,5,2,80,78,67,33,7,3,16,19,52,48,2,0
126,Rizespor,Gaziantepspor,11,7,2,2,81,76,67,33,5,4,17,17,53,47,0,1
127,Galatasaray,Kayseri Erciyesspor,23,6,10,3,82,70,57,43,4,7,15,14,58,42,3,1
128,Kasimpasa,Fenerbahce,12,14,3,7,77,81,47,53,3,5,14,20,46,54,0,3
129,Rizespor,Besiktas,5,15,1,6,73,83,37,63,7,3,16,21,39,61,1,2
130,Istanbul Basaksehir,Kayseri Erciyesspor,17,7,6,1,62,80,52,48,12,8,21,22,31,69,3,1
131,Genclerbirligi,Sivasspor,11,9,3,2,78,71,50,50,5,4,38,19,53,47,0,0
132,Galatasaray,Rizespor,21,18,5,6,85,80,54,46,4,6,18,16,52,48,2,0
133,Rizespor,Mersin,17,13,7,6,78,69,46,54,6,4,27,22,59,41,0,4
134,Akhisar Belediyespor,Rizespor,15,10,4,6,81,72,46,54,5,3,11,14,58,42,0,4
135,Besiktas,Balikesirspor,21,14,9,4,88,69,38,62,23,9,18,23,67,33,2,2
136,Konyaspor,Bursaspor,15,13,7,5,69,73,35,65,10,12,24,13,52,48,2,3
137,Gaziantepspor,Fenerbahce,14,14,4,8,79,76,50,50,2,2,12,15,54,46,0,5
138,Karabukspor,Balikesirspor,27,9,8,5,83,60,67,33,5,7,21,17,67,33,0,1
139,Rizespor,Eskisehirspor,18,9,5,2,89,72,52,48,5,6,15,20,66,34,3,0
140,Akhisar Belediyespor,Eskisehirspor,13,7,4,4,85,79,67,33,4,2,20,11,57,43,2,2
141,Galatasaray,Balikesirspor,26,17,10,3,89,73,44,56,10,6,22,14,67,33,3,1
142,Fenerbahce,Mersin,23,10,9,4,75,65,67,33,9,4,17,14,56,44,1,0
143,Karabukspor,Gaziantepspor,12,2,4,0,80,56,39,61,7,4,11,20,67,33,0,0
144,Trabzonspor,Sivasspor,18,14,6,5,78,74,47,53,6,5,23,16,50,50,3,1
145,Trabzonspor,Istanbul Basaksehir,22,11,6,6,83,76,52,48,5,2,19,12,54,46,3,2
146,Konyaspor,Besiktas,15,5,11,3,80,70,53,47,7,5,24,20,61,39,1,2
147,Mersin,Trabzonspor,23,17,9,7,76,74,54,46,3,8,18,26,50,50,1,5
148,Karabukspor,Kayseri Erciyesspor,15,13,5,4,72,80,42,58,0,4,7,11,45,55,1,2
149,Akhisar Belediyespor,Kayseri Erciyesspor,14,10,9,3,71,59,43,57,5,7,14,12,57,43,1,0
150,Gaziantepspor,Bursaspor,6,12,3,4,65,81,37,63,7,5,11,17,41,59,1,2
151,Sivasspor,Besiktas,16,10,0,2,77,77,50,50,7,10,22,23,51,49,0,1
152,Genclerbirligi,Besiktas,11,16,2,8,73,86,29,71,6,9,18,22,37,63,0,2
153,Konyaspor,Sivasspor,16,11,5,2,82,80,72,28,10,2,21,15,55,45,0,1
